movie_name,movie_year,movie_runtime,imdb_ratings,metascore,number_votes,us_gross_millions
Oppenheimer,(2023),180 min,8.6,88        ,"367,097",#35
Spider-Man: Across the Spider-Verse,(2023),140 min,8.8,86        ,"231,430",#17
Interstellar,(2014),169 min,8.7,74        ,"1,971,132",$188.02M
Inception,(2010),148 min,8.8,74        ,"2,455,874",$292.58M
The Dark Knight,(2008),152 min,9.0,84        ,"2,765,992",$534.86M
The Shawshank Redemption,(1994),142 min,9.3,82        ,"2,786,769",$28.34M
The Godfather,(1972),175 min,9.2,100        ,"1,940,563",$134.97M
Spider-Man: Into the Spider-Verse,(2018),117 min,8.4,87        ,"622,286",$190.24M
The Prestige,(2006),130 min,8.5,66        ,"1,389,046",$53.09M
Pulp Fiction,(1994),154 min,8.9,95        ,"2,137,896",$107.93M
Inglourious Basterds,(2009),153 min,8.3,69        ,"1,516,584",$120.54M
The Dark Knight Rises,(2012),164 min,8.4,78        ,"1,768,151",$448.14M
Memento,(2000),113 min,8.4,83        ,"1,281,752",$25.54M
Joker,(I) (2019),122 min,8.4,59        ,"1,389,613",$335.45M
The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        ,"1,937,572",$315.54M
Fight Club,(1999),139 min,8.8,67        ,"2,221,290",$37.03M
Avengers: Endgame,(2019),181 min,8.4,78        ,"1,206,845",$858.37M
Schindler's List,(1993),195 min,9.0,95        ,"1,401,914",$96.90M
Back to the Future,(1985),116 min,8.5,87        ,"1,257,593",$210.61M
The Departed,(2006),151 min,8.5,85        ,"1,374,125",$132.38M
Alien,(1979),117 min,8.5,89        ,"915,162",$78.90M
Django Unchained,(2012),165 min,8.4,81        ,"1,626,287",$162.81M
Indiana Jones and the Raiders of the Lost Ark,(1981),115 min,8.4,85        ,"1,009,270",$248.16M
Parasite,(2019),132 min,8.5,96        ,"879,843",$53.37M
The Silence of the Lambs,(1991),118 min,8.6,86        ,"1,486,667",$130.74M
Gladiator,(2000),155 min,8.5,67        ,"1,555,261",$187.71M
Forrest Gump,(1994),142 min,8.8,82        ,"2,167,497",$330.25M
Goodfellas,(1990),145 min,8.7,92        ,"1,209,179",$46.84M
Se7en,(1995),127 min,8.6,65        ,"1,724,652",$100.13M
American Beauty,(1999),122 min,8.3,84        ,"1,182,683",$130.10M
Saving Private Ryan,(1998),169 min,8.6,91        ,"1,443,422",$216.54M
Good Will Hunting,(1997),126 min,8.3,70        ,"1,018,287",$138.43M
Requiem for a Dream,(2000),102 min,8.3,71        ,"871,413",$3.64M
Whiplash,(2014),106 min,8.5,89        ,"925,448",$13.09M
The Matrix,(1999),136 min,8.7,73        ,"1,982,373",$171.48M
Oldboy,(2003),120 min,8.4,77        ,"606,260",$0.71M
12 Angry Men,(1957),96 min,9.0,97        ,"827,563",$4.36M
The Shining,(1980),146 min,8.4,66        ,"1,064,218",$44.02M
Terminator 2: Judgment Day,(1991),137 min,8.6,75        ,"1,137,287",$204.84M
Léon: The Professional,(1994),110 min,8.5,64        ,"1,204,285",$19.50M
The Godfather Part II,(1974),202 min,9.0,90        ,"1,318,725",$57.30M
The Green Mile,(1999),189 min,8.6,61        ,"1,354,440",$136.80M
Aliens,(1986),137 min,8.4,84        ,"740,488",$85.16M
2001: A Space Odyssey,(1968),149 min,8.3,84        ,"694,693",$56.95M
Apocalypse Now,(1979),147 min,8.4,94        ,"689,407",$83.47M
The Lord of the Rings: The Return of the King,(2003),201 min,9.0,94        ,"1,909,384",$377.85M
The Pianist,(2002),150 min,8.5,85        ,"872,335",$32.57M
One Flew Over the Cuckoo's Nest,(1975),133 min,8.7,84        ,"1,039,958",$112.00M
Once Upon a Time in America,(1984),229 min,8.3,75        ,"365,021",$5.32M
Braveheart,(1995),178 min,8.3,68        ,"1,065,158",$75.60M
